Name,Value,Comment
AuthUsersAdminService_FindCheckRolesAreValidForUserAsync_NonTenantNotAllowed,The role '{0}' wasn't found in the tenant '{1}' tenant roles.,
AuthUsersAdminService_FindCheckRolesAreValidForUserAsync_TenantNotAllowed,The role '{0}' isn't allowed to tenant user.,
AuthUsersAdminService_FindCheckRolesAreValidForUserAsync_RoleNotFoundTenant,The role '{0}' wasn't found in the tenant '{1}' tenant roles.,
ChangeRoleTypeChecks_UserError,You can't change Role {0} from {1} to {2} because {3} users are linked to it.,
ChangeRoleTypeChecks_TenantError,You can't change Role {0} from {1} to {2} because {3} tenants are linked to it.,
LinkToTenantDataService_UserNotFound,Could not find the user you were looking for.,AuthPermissions.AspNetCore project
LinkToTenantDataService_TenantNotFound,Could not find the tenant you were looking for.,
LinkToTenantDataService_Success,You are now linked the the data of the tenant called '{0}',
ShardingConnections_NoConnectionString,The {0} '{1}' wasn't found in the connection strings.,
ShardingConnections_BadConnectionString,There was an  error when trying to create a connection string. Typically this is because the connection string doesn't match the {0}.,
ShardingConnections_NoDatabaseDefined,The DatabaseName can't be null or empty when the connection string doesn't have a database defined.,
AuthUser_InvalidRoleHidden,You cannot add the role '{0}' to an Auth tenant user because it can only be used by the App Admin.,
AuthUser_InvalidRoleAutoAdd,You cannot add the role '{0}' to an Auth tenant user because it is automatically to tenant users.,AuthPermissions.BaseCode project
Tenant_RoleNotTenantRole,"The Role '{0}' is not a tenant role, i.e. only roles with a {1} of {2)} or {3} can be added to a tenant.",
SaveChangesExtensions_DuplicateDb,There is already a {0} with a value: name = {1},
SaveChangesExtensions_ConcurrencyError,Another user changed the {0} with the name = {1}. Please re-read the entity and add you change again.,
SaveChangesExtensions_UnknownException,There was a {0} on an auth class.,
AzureAdNewUserManager_ExistingUser,"There is already an AuthUser with your email, so you can't add another.",AuthPermissions.SupportCode project
AzureAdNewUserManager_SuccessFoundUser,Successfully found your Azure Ad user. Now login via the 'sign in' link.,
AzureAdNewUserManager_SuccessCreatedUser,Successfully created your Azure Ad user. Now login via the 'sign in' link.,
IndividualUserAddUserManager_ExistingUser,"There is already an AuthUser with your email, so you can't add another.",
IndividualUserAddUserManager_SuccessAddUser,New user with claims added.,
IndividualUserAddUserManager_ExistUserBadPassword,Your user is invalid.,
IndividualUserAddUserManager_SuccessRegisterLogin,You have been registered and logged in to this application.,
InviteNewUserService_EmptyEmailOrUserName,You must provide an email or username for the invitation.,
InviteNewUserService_InvalidTenant,The Tenant you have selected isn't within your group.,
InviteNewUserService_SelectTenant,You forgot to select a tenant for the invite.,
InviteNewUserService_BadTenant,The tenant you selected isn't correct.,
InviteNewUserService_BadRoles,The following Roles aren't allowed for a tenant user: {0},
InviteNewUserService_NoRoles,"You haven't set up any Roles for the invited user. If you really what the user to have no roles, then select the '{0}' dropdown item.",
InviteNewUserService_Success-WarningAdminUser,"WARNING: you are creating an invite that will make the user an app admin (i.e. not a tenant). This is allowable, but only send the invite if you are sure that what you want to do.",
InviteNewUserService_Success-SendInviteApp,Please send the url to the user '{0}' which allow them to join your application.,
InviteNewUserService_Success-SendInviteTenant,Please send the url to the user '{0}' which allow them to join the tenant '{1}'.,
InviteNewUserService_Success-WarningAdminUser-Expires,"WARNING: you are creating an invite that will make the user an app admin (i.e. not a tenant). This is allowable, but only send the invite if you are sure that what you want to do. This invite expires on local time {0}.",
InviteNewUserService_Success-SendInviteApp-Expires,Please send the url to the user '{0}' which allow them to join your application. This invite expires on local time {1}.,
InviteNewUserService_Success-SendInviteTenant-Expires,Please send the url to the user '{0}' which allow them to join the tenant '{1}'. This invite expires on local time {1}.,
InviteNewUserService_VerityFailed,"Sorry, the verification failed.",
InviteNewUserService_EmailNotMatch,"Sorry, your email didn't match the invite.",
InviteNewUserService_InviteExpired,The invite has expired. Please contact the person who sent you an invite.,
InviteNewUserService_Forever,Invite is valid forever.,
InviteNewUserService_Expiration-1Hour,Invite is only valid for 1 hour from now.,
InviteNewUserService_Expiration-Hours,Invite is only valid for {0} hours from now.,
InviteNewUserService_Expiration-Days,Invite is only valid for {0} days from now.,
SignInAndCreateTenant_NullTenantName,You forgot to give a tenant name.,
SignInAndCreateTenant_DuplicateTenantName,The tenant name '{0}' is already taken.,
SignInAndCreateTenant_HasOwnDbNotSet,You must set the HasOwnDb parameter to true or false.,
SignInAndCreateTenant_SuccessSignUp,Successfully created the tenant '{0}' and registered you as the tenant admin.,
AzureAdAccessService_BadEmail,The email was either missing or does not contain a '@'.,
AzureAdAccessService_BadAuthorization,The Azure AD authorization service says: {0},
AzureAdAccessService_MissingDatabaseInfo,Could not find a database info entry with the {0} of '{1}'.,
AccessDatabaseInformation_NoDeleteAsUsed,You can't delete the database information with the {0} of {1} because {2} tenant(s) uses this database.,
AccessDatabaseInformation_SuccessUpdate,Successfully updated the {0} with your changes.,
AccessDatabaseInformation_DbNameMissing,"The Name is null, which isn't allowed.",
AccessDatabaseInformation_DatabaseInfoDuplicate,The {0} of {1} is already used.,
DemoGetDatabaseForNewTenant_NoDbForTenant,We cannot create the tenant at this time. Please contact the support team with the code: no db available.,
StatusGenericLocalizer_MessageHasOneError,Failed with 1 error.,StatusGenericLocalizer
StatusGenericLocalizer_MessageHasManyErrors,Failed with {0} errors.,
